time,step_size,total_energy
0,0,0
1,1,318.84970904785
2.1,1.1,318.44002727361
3.31,1.21,317.6274519765
4.641,1.331,315.80154199801
5.8389,1.1979,312.6587069204
6.91701,1.07811,307.97352074033
8.102931,1.185921,300.1089249912
9.4074441,1.3045131,287.98828479986
10.58150589,1.17406179,274.64600823624
11.638161501,1.056655611,261.77980114512
12.8004826731,1.1623211721,248.45564311569
14.07903596241,1.27855328931,236.83585038657
15.485444580651,1.406408618241,228.2454160555
17.032494060716,1.5470494800651,222.29836554859
18.734248488788,1.7017544280716,217.91272515836
20.606178359666,1.8719298708788,214.20421190774
22.665301217633,2.0591228579666,210.66918390252
24.930336361396,2.2650351437633,207.05084894612
27.421875019536,2.4915386581396,203.24216630469
30.16256754349,2.7406925239536,199.19030807943
33.177329319839,3.014761776349,194.81846393261
36.493567273823,3.3162379539839,190.05974011569
39.478181432408,2.9846141585855,185.81174763244
42.164334175135,2.6861527427269,181.98330149952
45.119102192135,2.9547680169996,177.81991594542
48.369347010834,3.2502448186996,173.51756077675
51.944616311404,3.5752693005695,169.32952806113
55.87741254203,3.9327962306265,165.33861309201
60.203488395719,4.3260758536892,161.48884939882
64.962171834777,4.7586834390581,157.82093284137
70.196723617741,5.2345517829639,154.28755810794
75.954730579002,5.7580069612603,150.90609159834
82.288538236388,6.3338076573863,147.77527354463
89.255726659513,6.9671884231249,144.85392049404
95.526196240325,6.2704695808124,142.61067736841
101.16961886306,5.6434226227312,140.87058010899
106.24869922351,5.0790803604581,139.48144448193
111.83568762002,5.5869883965039,138.10901639063
117.98137485617,6.1456872361543,136.74008909589
124.74163081594,6.7602559597697,135.36015252492
132.17791237169,7.4362815557467,133.9557218884
140.35782208301,8.1799097113213,132.5168350158
149.35572276546,8.9979006824534,131.03711720536
159.25341351616,9.8976907506988,129.50843400704
168.16133519179,8.9079216756289,128.20508737622
176.17846469986,8.017129508066,127.08427074497
183.39388125712,7.2154165572594,126.11330285741
191.3308394701,7.9369582129854,125.0840921263
200.06149350439,8.7306540342839,123.99392815948
209.6652129421,9.6037194377123,122.83925284745
220.22930432358,10.564091381484,121.61851149733
229.73698656692,9.5076822433352,120.55764543142
238.29390058592,8.5569140190016,119.63007995962
245.99512320302,7.7012226171015,118.81494403377
254.46646808183,8.4713448788116,117.93971061559
263.78494744852,9.3184793666928,117.00141844014
274.03527475189,10.250327303362,115.99537469144
285.31063478559,11.275360033698,114.91760438688
295.45845881591,10.147824030328,113.9720713573
304.59150044321,9.1330416272956,113.14020903493
312.81123790778,8.219737464566,112.4056177712
321.8529491188,9.0417112110227,111.61492633342
331.79883145092,9.9458823321249,110.76503874537
340.75012554984,8.9512940989124,110.0210893994
348.80629023886,8.0561646890212,109.36757697167
356.05683845898,7.2505482201191,108.79405880453
364.03244150111,7.975603042131,108.18026561536
372.80560484745,8.7731633463441,107.51793456044
377.63084468794,4.8252398404892,107.13855517383
381.97356054438,4.3427158564403,106.72499967155
385.88200481518,3.9084442707963,106.32137127852
390.18129351305,4.2992886978759,105.8955739937
394.91051108072,4.7292175676635,105.45696072114
400.11265040515,5.2021393244299,105.00516181758
405.83500366202,5.7223532568728,104.5402206944
412.12959224458,6.2945885825601,104.06209328046
419.05363968539,6.9240474408161,103.57108107037
426.67009187029,7.6164521848977,103.06717703603
435.04818927368,8.3780974033875,102.55008183209
444.26409641741,9.2159071437263,102.018613293
454.40159427551,10.137497858099,101.47154581637
465.55284191941,11.151247643909,100.90734791166
477.81921432771,12.2663724083,100.32253225115
491.31222397684,13.49300964913,99.712559552137
503.45593266106,12.143708684217,99.185998881367
514.38527047685,10.929337815795,98.728269617465
524.22167451107,9.8364040342155,98.32632242224
535.04171894871,10.820044437637,97.895273466116
546.94376783011,11.902048881401,97.43189919883
560.03602159965,13.092253769541,96.932473567066
574.43750074614,14.401479146495,96.394705953728
587.39883197799,12.961331231845,95.919736519232
599.06403008665,11.665198108661,95.499881270322
609.56270838445,10.498678297795,95.127414685257
621.11125451202,11.548546127574,94.722937077854
633.81465525235,12.703400740332,94.284592672819
647.78839606672,13.973740814365,93.809996182607
663.15951096252,15.371114895801,93.295671823652
676.99351436874,13.834003406221,92.84010897579
689.44411743434,12.450603065599,92.435299774388
703.1397808065,13.695663372159,91.995814136043
718.20501051587,15.065229709375,91.519966587302
731.76371725431,13.558706738437,91.097074518589
743.9665533189,12.202836064594,90.721517230764
754.94910577704,10.982552458134,90.386678418238
767.02991348098,12.080807703948,90.021529740167
780.31880195533,13.288888474343,89.624907990382
794.9365792771,14.617777321777,89.194026444033
808.0925788667,13.155999589599,88.810513564744
819.93297849734,11.840399630639,88.468649842677
830.58933816492,10.656359667575,88.163720163969
842.31133379925,11.721995634333,87.831387546926
855.20552899702,12.894195197766,87.468927370428
869.38914371456,14.183614717543,87.073263721256
884.99111990386,15.601976189297,86.642079344256
899.03289847422,14.041778570367,86.257620547301
911.67049918755,12.637600713331,85.912964634595
923.04433982955,11.373840641997,85.60421800983
935.55556453575,12.511224706197,85.265592883199
949.31791171257,13.762347176817,84.894072470434
964.45649360706,15.138581894499,84.484437905865
978.08121731211,13.624723705049,84.115414192661
990.34346864666,12.262251334544,83.781024922619
1001.3794948477,11.03602620109,83.477184140523
1013.5191236689,12.139628821198,83.138707035504
1026.8727153723,13.353591703318,82.756867899931
1038.8909479052,12.018232532986,82.400459924677
1049.7073571849,10.816409279688,82.063107474487
1059.4421255367,9.734768351719,81.733616480271
1070.1503707235,10.708245186891,81.269576700824
1076.0399055763,5.88953485279,80.765198200647
1081.3404869438,5.300581367511,80.324927760599
1086.1110101746,4.7705232307599,80.074130746096
1090.4044810823,4.2934709076839,79.912884978852
1094.2686048992,3.8641238169155,79.795555208401
1097.7463163344,3.477711435224,79.706708895727
1101.5717989132,3.8254825787464,79.618847600455
1105.7798297498,4.208030836621,79.530060031535
1110.4086636701,4.6288339202831,79.438493409479
1115.5003809824,5.0917173123114,79.342230577604
1121.1012700259,5.6008890435426,79.239624047317
1127.2622479738,6.1609779478968,79.1291703285
1134.0393237165,6.7770757426865,79.009476943447
1140.1386918849,6.0993681684179,78.902914259639
1145.6281232365,5.4894313515761,78.807713647581
1151.6664977232,6.0383744867337,78.703727062916
1158.3087096587,6.6422119354071,78.590377192306
1164.2867004005,5.9779907418663,78.488668845476
1169.6668920682,5.3801916676797,78.39761791532
1175.5851029026,5.9182108344477,78.298108769981
1182.0951348205,6.5100319178925,78.188888117598
1187.9541635466,5.8590287261032,78.091091361208
1193.2272894001,5.2731258534929,78.003443685355
