# ============================================================
# df/dc 查表 — phi0 相 (Cu-Zr 二元合金)
#
# df/dc(c, T) = (dGm_phi0/dc)(c, T) / Vm_0  [J/m^3]
# Vm_0 = 1.0580e-05 m^3/mol
#
# 此文件可直接用 Excel / LibreOffice Calc 打开：
#   - 注释行（# 开头）会被解析器跳过
#   - 第一非注释行为表头：nc,nT,c_min,c_max,T_min,T_max
#   - 之后每行 nT 个值，对应一个 c 节点
#
# nc=64  c ∈ [0.001, 0.999]  间距 0.015841
# nT=64  T ∈ [500.0, 2000.0] K  间距 23.809524 K
# ============================================================
#
# nc, nT, c_min, c_max, T_min, T_max
64, 64, 0.001, 0.999, 500.0, 2000.0
#
# T[K] =,    500.000000,    523.809524,    547.619048,    571.428571,    595.238095,    619.047619,    642.857143,    666.666667,    690.476190,    714.285714,    738.095238,    761.904762,    785.714286,    809.523810,    833.333333,    857.142857,    880.952381,    904.761905,    928.571429,    952.380952,    976.190476,   1000.000000,   1023.809524,   1047.619048,   1071.428571,   1095.238095,   1119.047619,   1142.857143,   1166.666667,   1190.476190,   1214.285714,   1238.095238,   1261.904762,   1285.714286,   1309.523810,   1333.333333,   1357.142857,   1380.952381,   1404.761905,   1428.571429,   1452.380952,   1476.190476,   1500.000000,   1523.809524,   1547.619048,   1571.428571,   1595.238095,   1619.047619,   1642.857143,   1666.666667,   1690.476190,   1714.285714,   1738.095238,   1761.904762,   1785.714286,   1809.523810,   1833.333333,   1857.142857,   1880.952381,   1904.761905,   1928.571429,   1952.380952,   1976.190476,   2000.000000
# c = 0.001000
-8231610287.404544,-8339207370.735166,-8447028160.076872,-8555071652.088541,-8663337098.369017,-8771823949.482319,-8880531810.208427,-8989460403.148527,-9098609538.598154,-9207979089.151930,-9317568967.894468,-9427379109.313547,-9537409452.276606,-9647659924.562696,-9758130428.554379,-9868820827.778391,-9979730934.048092,-10090860495.009420,-10202209181.930004,-10313776577.600241,-10425562164.238108,-10537565311.307484,-10649785263.174107,-10762221126.534563,-10874871857.563011,-10987736248.727587,-11100812915.234337,-11214100281.061689,-11327596564.551966,-11441299763.530317,-11555207639.923491,-11669317703.853695,-11783627197.184244,-11898133076.495432,-12012831995.470451,-12127720286.671965,-12242793942.691267,-12356658933.458336,-12472083311.494385,-12587698300.053833,-12703508380.180693,-12819517865.970833,-12935730911.580873,-13052151517.722183,-13168783537.678831,-13285630682.885386,-13402696528.096291,-13519984516.176409,-13637497962.538933,-13755240059.254868,-13873213878.856081,-13991422377.851992,-14109868399.977970,-14228554679.192560,-14347483842.438448,-14466658412.181490,-14586080808.740633,-14705753352.420420,-14825678265.457130,-14945857673.788452,-15066293608.656054,-15186988008.049238,-15307942717.997986,-15429159493.722157
# c = 0.016841
-6933774821.532459,-6989393828.212631,-7045236540.903892,-7101301956.265113,-7157589325.895140,-7214098100.357994,-7270827884.433655,-7327778400.723308,-7384949459.522487,-7442340933.425815,-7499952735.517903,-7557784800.286536,-7615837066.599147,-7674109462.234789,-7732601889.576023,-7791314212.149588,-7850246241.768842,-7909397726.079722,-7968768336.349856,-8028357655.369646,-8088165165.357063,-8148190235.775995,-8208432110.992167,-8268889897.702177,-8329562552.080175,-8390448866.594302,-8451547456.450609,-8512856745.627509,-8574374952.467340,-8636100074.795246,-8698029874.537970,-8760161861.817726,-8822493278.497828,-8885021081.158569,-8947741923.483141,-9010652138.034204,-9073747717.403061,-9135634631.519680,-9199080932.905281,-9262717844.814283,-9326549848.290693,-9390581257.430387,-9454816226.389980,-9519258755.880840,-9583912699.187040,-9648781767.743147,-9713869536.303604,-9779179447.733274,-9844714817.445351,-9910478837.510838,-9976474580.461605,-10042705002.807066,-10109172948.282602,-10175881150.846739,-10242832237.442177,-10310028730.534773,-10377473050.443470,-10445167517.472805,-10513114353.859070,-10581315685.539944,-10649773543.757097,-10718489866.499834,-10787466499.798134,-10856705198.871861
# c = 0.032683
-6484849124.259502,-6528914328.984425,-6573203239.720433,-6617714853.126404,-6662448420.801179,-6707403393.308782,-6752579375.429191,-6797976089.763592,-6843593346.607522,-6889431018.555596,-6935489018.692436,-6981767281.505817,-7028265745.863176,-7074984339.543568,-7121922964.929550,-7169081485.547863,-7216459713.211865,-7264057395.567497,-7311874203.882380,-7359909720.946916,-7408163428.979084,-7456634697.442764,-7505322770.703684,-7554226755.458444,-7603345607.881192,-7652678120.440068,-7702222908.341121,-7751978395.562771,-7801942800.447351,-7852114120.820004,-7902490118.607479,-7953068303.931984,-8003845918.656834,-8054819919.362323,-8105986959.731643,-8157343372.327457,-8208885149.741061,-8259218261.902431,-8311110761.332780,-8363193871.286530,-8415472072.807689,-8467949679.992132,-8520630846.996473,-8573519574.532082,-8626619715.883032,-8679934982.483885,-8733468949.089094,-8787225058.563513,-8841206626.320335,-8895416844.430573,-8949858785.426088,-9004535405.816299,-9059449549.336584,-9114603949.945469,-9170001234.585655,-9225643925.723000,-9281534443.676445,-9337675108.750530,-9394068143.181543,-9450715672.907166,-9507619729.169067,-9564782249.956556,-9622205081.299603,-9679889978.418077
# c = 0.048524
-6141037662.168618,-6178554504.708862,-6216295053.260194,-6254258304.481487,-6292443509.971587,-6330850120.294511,-6369477740.230246,-6408326092.379971,-6447394987.039223,-6486684296.802621,-6526193934.754784,-6565923835.383490,-6605873937.556170,-6646044169.051887,-6686434432.253191,-6727044590.686829,-6767874456.166155,-6808923776.337110,-6850192222.467315,-6891679377.347176,-6933384723.194668,-6975307629.473670,-7017447340.549914,-7059802963.119996,-7102373453.358069,-7145157603.732267,-7188154029.448646,-7231361154.485620,-7274777197.185521,-7318400155.373499,-7362227790.976296,-7406257614.116126,-7450486866.656297,-7494912505.177112,-7539531183.361756,-7584339233.772893,-7629332649.001822,-7673117398.978514,-7718461536.224186,-7763996283.993258,-7809726123.329743,-7855655368.329509,-7901788173.149174,-7948128538.500105,-7994680317.666378,-8041447222.082557,-8088432826.503086,-8135640573.792830,-8183073779.364979,-8230735635.290537,-8278629214.101377,-8326757472.306910,-8375123253.642518,-8423729292.066727,-8472578214.522239,-8521672543.474907,-8571014699.243675,-8620607002.133083,-8670451674.379419,-8720550841.920366,-8770906535.997593,-8821520694.600403,-8872395163.758774,-8923531698.692572
# c = 0.064365
-5841397168.804564,-5874469028.623316,-5907764594.453154,-5941282862.952954,-5975023085.721560,-6008984713.322990,-6043167350.537231,-6077570719.965461,-6112194631.903220,-6147038958.945126,-6182103614.175793,-6217388532.083006,-6252893651.534192,-6288618900.308414,-6324564180.788226,-6360729356.500368,-6397114239.258203,-6433718576.707663,-6470542040.116374,-6507584212.274741,-6544844575.400737,-6582322498.958246,-6620017227.312998,-6657927867.161587,-6696053374.678164,-6734392542.330870,-6772943985.325752,-6811706127.641233,-6850677187.619642,-6889855163.086124,-6929237815.967428,-6968822656.385762,-7008606926.204441,-7048587582.003761,-7088761277.466911,-7129124345.156555,-7169672777.663988,-7209012544.919188,-7249911699.443366,-7291001464.490946,-7332286321.105936,-7373770583.384208,-7415458405.482378,-7457353788.111815,-7499460584.556597,-7541782506.251280,-7584323127.950316,-7627085892.518564,-7670074115.369220,-7713290988.573285,-7756739584.662632,-7800422860.146670,-7844343658.760784,-7888504714.463499,-7932908654.197516,-7977558000.428691,-8022455173.475965,-8067602493.643880,-8113002183.168722,-8158656367.988175,-8204567079.343906,-8250736255.225223,-8297165741.662100,-8343857293.874404
# c = 0.080206
-5566195161.681306,-5595985776.218600,-5626000096.766983,-5656237119.985327,-5686696097.472476,-5717376479.792451,-5748277871.725235,-5779399995.872009,-5810742662.528311,-5842305744.288760,-5874089154.237973,-5906092826.863729,-5938316701.033460,-5970760704.526225,-6003424739.724580,-6036308670.155267,-6069412307.631643,-6102735399.799647,-6136277617.926905,-6170038544.803815,-6204017662.648355,-6238214340.924409,-6272627823.997705,-6307257218.564835,-6342101480.799957,-6377159403.171206,-6412429600.884634,-6447910497.918657,-6483600312.615610,-6519497042.800636,-6555598450.400485,-6591902045.537363,-6628405070.074586,-6665104480.592448,-6701996930.774143,-6739078753.182330,-6776345940.408308,-6812404462.382051,-6850022371.624774,-6887830891.390898,-6925834502.724431,-6964037519.721246,-7002444096.537960,-7041058233.885942,-7079883785.049266,-7118924461.462495,-7158183837.880075,-7197665357.166867,-7237372334.736065,-7277307962.658674,-7317475313.466564,-7357877343.669147,-7398516897.001806,-7439396707.423064,-7480519401.875627,-7521887502.825343,-7563503430.591163,-7605369505.477621,-7647487949.721007,-7689860889.259004,-7732490355.333278,-7775378285.933138,-7818526527.088559,-7861936834.019409
# c = 0.096048
-5306510533.926196,-5333758826.009089,-5361230824.103068,-5388925524.867012,-5416842179.899760,-5444980239.765333,-5473339309.243715,-5501919110.936089,-5530719455.137989,-5559740214.444038,-5588981301.938848,-5618442652.110202,-5648124203.825531,-5678025884.863896,-5708147597.607849,-5738489205.584135,-5769050520.606110,-5799831290.319713,-5830831185.992568,-5862049790.415076,-5893486585.805217,-5925140941.626867,-5957012102.245763,-5989099174.358490,-6021401114.139213,-6053916714.056060,-6086644589.315086,-6119583163.894709,-6152730656.137259,-6186085063.867886,-6219644149.013331,-6253405421.695808,-6287366123.778629,-6321523211.842092,-6355873339.569385,-6390412839.523170,-6425137704.294746,-6458653903.814089,-6493729490.602409,-6528995687.914132,-6564456976.793263,-6600117671.335677,-6635981925.697990,-6672053740.591570,-6708336969.300492,-6744835323.259319,-6781552377.222499,-6818491574.054890,-6855656229.169685,-6893049534.637895,-6930674562.991384,-6968534270.739564,-7006631501.617822,-7044968989.584679,-7083549361.582838,-7122375140.078155,-7161448745.389572,-7200772497.821630,-7240348619.610613,-7280179236.694209,-7320266380.314082,-7360611988.459542,-7401217907.160561,-7442085891.637009
# c = 0.111889
-5057541399.807868,-5082757631.038111,-5108197568.279441,-5133860208.190734,-5159744802.370831,-5185850801.383756,-5212177810.009488,-5238725550.849212,-5265493834.198462,-5292482532.651860,-5319691559.294021,-5347120848.612725,-5374770339.475404,-5402639959.661119,-5430729611.552423,-5459039158.676059,-5487568412.845385,-5516317121.706336,-5545284956.526542,-5574471500.096400,-5603876234.633890,-5633498529.602892,-5663337629.369137,-5693392640.629214,-5723662519.557287,-5754146058.621485,-5784841873.027862,-5815748386.754833,-5846863818.144733,-5878186165.022710,-5909713189.315507,-5941442401.145333,-5973371042.375505,-6005496069.586317,-6037814136.460960,-6070321575.562097,-6103014379.481022,-6134498518.147715,-6167542044.083385,-6200776180.542458,-6234205408.568940,-6267834042.258704,-6301666235.768367,-6335705989.809298,-6369957157.665569,-6404423450.771747,-6439108443.882275,-6474015579.862017,-6509148174.124164,-6544509418.739721,-6580102386.240560,-6615930033.136092,-6651995203.161698,-6688300630.275907,-6724848941.421416,-6761642659.064081,-6798684203.522849,-6835975895.102257,-6873519956.038591,-6911318512.269536,-6949373595.036761,-6987687142.329569,-7026261000.177940,-7065096923.801737
# c = 0.127730
-4816403148.541387,-4839960218.102402,-4863740993.674503,-4887744471.916568,-4911969904.427438,-4936416741.771132,-4961084588.727636,-4985973167.898131,-5011082289.578154,-5036411826.362324,-5061961691.335255,-5087731818.984731,-5113722148.178182,-5139932606.694668,-5166363096.916743,-5193013482.371150,-5219883574.871246,-5246973122.062971,-5274281795.213946,-5301809177.114578,-5329554749.982840,-5357517883.282612,-5385697821.379627,-5414093670.970478,-5442704388.229321,-5471528765.624290,-5500565418.361438,-5529812770.419182,-5559269040.139854,-5588932225.348601,-5618800087.972170,-5648870138.132769,-5679139617.693710,-5709605483.235295,-5740264388.440708,-5771112665.872616,-5802146308.122313,-5831971285.119777,-5863355649.386219,-5894930624.176064,-5926700690.533316,-5958670162.553852,-5990843194.394287,-6023223786.765988,-6055815792.953032,-6088622924.389980,-6121648755.831281,-6154896730.141793,-6188370162.734712,-6222072245.681041,-6256006051.512651,-6290174536.738955,-6324580545.095333,-6359226810.540311,-6394115960.016593,-6429250515.990030,-6464632898.779569,-6500265428.689748,-6536150327.956855,-6572289722.518571,-6608685643.616567,-6645340029.240148,-6682254725.419288,-6719431487.373857
# c = 0.143571
